Name,Question,Type,Good,Answer1,Answer2,Answer3,Answer4
Histoire,En quelle année a eu lieu la découverte de l'Amérique ?,2,3,1482,1486,1492,1498
Histoire,Quelle était la monnaie utilisée en Espagne avant l'euro ?,2,1,La peseta,L'escudo,Le dollar,La lire
Histoire,Quel explorateur est en charge du premier tour du monde ?,2,3,Vasco de Gama,James Cook,Magellan,Marco Polo
Histoire,Sur quelle île ont-ils emprisonné Napoléon après avoir perdu la bataille de Waterloo ?,2,4,Saint-Pierre-et-Miquelon,Îles Canaries,Île de Ré,Sainte-Hélène
Histoire,Laquelle de ces inventions est la plus ancienne ?,2,3,La machine à additionner,Le sous-marin,La lunette astronomique,L'hélice
Histoire,Qui est l'inventeur de la dynamite ?,2,2,Thomas Edison,Alfred Nobel,Samuel Colt,Nicolas Tesla
Histoire,Quelle est l'année de l'invention de l'escalator ?,2,2,1852,1892,1920,1963
Histoire,Qui est l'inventeur de l'imprimerie ?,2,3,Nicolas Copernic,Johannes Kepler,Johannes Gutenberg,Martin Luther
Histoire,En quelle année la télévision couleur est-elle inventée ?,2,1,1950,1960,1970,1980
Histoire,Quelle invention est la plus récente ?,2,3,Le camion frigorifique,La caisse enregistreuse,L'avion,La bouteille Thermos
Histoire,Laquelle de ces inventions a vu le jour en premier ?,2,4,Le SMS,Le Viagra,Le baladeur MP3,La Game Boy
Histoire,Laquelle de ces inventions n'est pas française ?,2,4,La carte à puce,Le projecteur de cinéma,Le béton armé,Le four à micro-ondes
Histoire,Quel président des États-Unis d'Amérique a été élu le plus jeune ?,2,3,Barack Obama,George W. Bush,John F. Kennedy,Joe Biden
Histoire,Quel président américain est à l'origine de l'abolition de l'esclavage en 1865 ?,2,2,Benjamin Harrison, Abraham Lincoln,Theodore Roosevelt,James Buchanan
Histoire,Quel président des USA est un ancien gouverneur du Texas ?,2,1,George W. Bush,Bill Clinton,Lyndon B. Johnson,Richard Nixon
Histoire,Quel président américain démissionne suite au scandale du Watergate ?,2,2,Franklin D. Roosevelt,Richard Nixon,Gerald Ford,George H. W. Bush
Histoire,Quelle invention doit-on à Louis Pasteur ?,2,4,Le principe de vaccin,Le vaccin BCG,Le vaccin contre la variole,Le vaccin contre la rage
Histoire,Laquelle de ces inventions est française ?,2,1,Le bateau à vapeur,Le paratonnerre,Le morse,Le pneu
Histoire,En quelle année le français Joseph Cugnot met-il au point l'invention de l'automobile ?,2,1,1770,1800,1830,1860
Histoire,De quel pays est originaire la bombe atomique ?,2,3,Russie,Chine,États-Unis,Allemagne
Histoire,Qui est l'inventeur du téléphone ?,2,4,William Crookes,Albert Black Dick,Charles Goodyear,Alexander Graham Bell
Histoire,Qui est le dieu du soleil de la mythologie égyptienne ?,2,3,Horus,Osiris,Rê,Anubis
Histoire,Combien d'années a duré la guerre de Cent Ans ?,2,3,100 ans,110 ans,116 ans,126 ans
Histoire,En quelle année se déroule la première élection présidentielle de France ?,2,2,1809,1848,1883,1907
Histoire,Quel est le nom de la bataille navale de 1805 ?,2,1,Bataille de Trafalgar,Bataille d'Ouessant,Bataille du Jutland,Bataille de Copenhague
Histoire,Quand l'ONU a-t-elle été créée ?,2,3,1925,1935,1945,1955
Histoire,Combien de temps a duré la Deuxième République Espagnole ?,2,4,6 mois,2 ans,5 ans,8 ans
Histoire,Dans quelle ville vivait Marco Polo ?,2,3,Rome,Florence,Venise,Pise
Histoire,En quelle année la Slovénie est-elle devenue indépendante de la Yougoslavie ?,2,2,1989,1991,1999,2002
Histoire,Quel président a eu le mandat le plus long ?,2,1,François Mitterand,Charles de Gaulle,Georges Pompidou,Jean Casimir-Perier
Histoire,Jules César donne son nom au mois de juillet. Oui ou non ?,1,1,Oui,Non,,
Histoire,En quelle année l'humanité a-t-elle posé le pied sur la Lune pour la première fois à bord du vaisseau spatial Apollo 11 ?,2,3,1960,1965,1969,1973
Histoire,Un philosophe grec considérait l'eau comme un élément intégré dans toutes choses. Quel était son nom ?,2,1,Thalès de Milet,Platon,Pythagore,Ératosthène de Cyrène
Histoire,"Le Mozambique a été colonisé par un pays européen, lequel ?",2,2,France,Portugal,Royaume-Uni,Espagne
Histoire,"En France, qui remplace le président de la République en cas de décès ou démission ?",2,1,Le président du Sénat,Le président de l'Assemblée Nationale,Le Premier Ministre,Le ministre de l'Intérieur
Histoire,Quel est le dernier président à avoir fait un septennat ?,2,4,François Mitterand,Nicolas Sarkozy,François Hollande,Jacques Chirac
Histoire,Où la première bombe atomique a-t-elle été utilisée ?,2,3,Nagasaki,Fukushima,Hiroshima,Yokohama
Histoire,Hitler s'est suicidé. Oui ou non ?,1,1,Oui,Non,,
Histoire,La Révolution française a commencé en 1789. Oui ou non ?,1,1,Oui,Non,,
Histoire,La France a été le berceau de la Renaissance. Oui ou non ?,1,2,Oui,Non,,
Histoire,Napoléon Bonaparte a été le premier empereur des Français. Oui ou non ?,1,1,Oui,Non,,
Histoire,Louis XIV était connu sous le nom de 'Le Roi-Soleil'. Oui ou non ?,1,1,Oui,Non,,
Histoire,Louis-Philippe a été le dernier roi en France. Oui ou non ?,1,1,Oui,Non,,
Histoire,Le laurier est un symbole de la monarchie française. Oui ou non ?,1,2,Oui,Non,,
Histoire,Louis XV était connu comme 'Le Fainéant'. Oui ou non ?,1,2,Oui,Non,,
Histoire,La Guerre de Cent Ans s'est soldée par la victoire des Français sur les Anglais. Oui ou non ?,1,1,Oui,Non,,
Histoire,Henri IV était le premier roi de la dynastie des Bourbons. Oui ou non ?,1,1,Oui,Non,,
Histoire,La France a été la première nation à adopter une Constitution démocratique. Oui ou non ?,1,2,Oui,Non,,
Histoire,L'Arc de Triomphe est un symbole de la victoire française lors des guerres napoléoniennes. Oui ou non ?,1,1,Oui,Non,,
Histoire,La France a été vaincue par la Prusse de Guillaume Ier lors de la guerre de 1870. Oui ou non ?,1,1,Oui,Non,,
Histoire,La France a participé à la guerre en Indochine. Oui ou non ?,1,1,Oui,Non,,
Histoire,La France est l'un des douze membres fondateurs de l'OTAN. Oui ou non ?,1,1,Oui,Non,,
Histoire,La dynastie des Capétiens est la dynastie ayant tenu le plus longtemps. Oui ou non ?,1,1,Oui,Non,,
Histoire,L'affaire Dreyfus fut condamnée par Victor Hugo. Oui ou non ?,1,2,Oui,Non,,
Histoire,Les accords de Munich mettent fin à la Première Guerre mondiale. Oui ou non ?,1,2,Oui,Non,,
Histoire,Qui a été le premier président des États-Unis ?,2,3,Thomas Jefferson,James K. Polk,George Washington,Abraham Lincoln
Sciences et Nature,Qui est l'inventeur du télescope réfléchissant ?,2,3,Johannes Kepler,René Descartes,Isaac Newton,Nicolas Copernic
Sciences et Nature,Comment appelle t-on la peur de la hauteur ?,2,1,Acrophobie,Agoraphobie,Trypophobie ,Autophobie
Sciences et Nature,"Les satellites Callisto, Europe, Io et Ganymède sont en orbite autour d'une planète. Laquelle ?",2,3,Mars,Venus,Jupiter,Uranus
Sciences et Nature,Quel est le nom du chercheur qui a développé une théorie similaire au darwinisme ?,2,4,Charles Darwin,Charles Lyell,Henry Bates,Alfred Russell Wallace
Sciences et Nature,Laquelle de ces périodes géologiques est la plus récente ?,2,2,Le Trias,Le Crétacé,Le Jurassique,Le Carbonifère
Sciences et Nature,Tous les composants organiques ont un élément en commun : quel est-il ?,2,3,L'hydrogène,Le fer,Le carbone,Le potassium
Sciences et Nature,Quelle est la principale plante à l'origine de la tequila ?,2,3,La canne à sucre,L'orge,L'agave,Le seigle
Sciences et Nature,"Alnilam, Alnitak et Mintaka sont les étoiles qui, vues de la Terre, tracent une ligne. Comment s'appelle cette ligne ?",2,4,La Théière,La Grande Casserole,Le W de Cassiopée,La ceinture d'Orion
Sciences et Nature,Il y a un oiseau qui se nourrit essentiellement d'os. Lequel ?,2,4,L'aigle royal,L'urubu noir,Le Condor des Andes,Le gypaète barbu
Sciences et Nature,Quelle est la signification étymologique du mot dinosaure ?,2,2,Monstre géant,Terrible lézard,Animal préhistorique,Redoutable prédateur
Sciences et Nature,Combien d'os même minuscules comptabilise-t-on dans chacune de nos oreilles externes ?,2,1,0,3,6,9
Sciences et Nature,"Quel os, composé de 6 os soudés, est le plus grand du corps humain ?",2,1,Le bassin,La hanche,La rotule,Le fémur
Sciences et Nature,Jusqu'à combien de mètres les microbes sont projetés quand on éternue ?,2,4,1 m,2 m,4 m,9 m
Sciences et Nature,Combien de litres de salive produit-on en moyenne chaque jour ?,2,2,"0,5 litre","1,5 litre","3,5 litres","5,5 litres"
Sciences et Nature,La durée de vie maximale d'un cheveu est de 5 ans. Oui ou non ?,1,1,Oui ,Non,,
Sciences et Nature,Le corps humain compte 570 muscles squelettiques. Oui ou non ?,1,1,Oui,Non,,
Sciences et Nature,Il y a environ 1 500 volcans terrestres actifs. Oui ou non ?,1,1,Oui,Non,,
Sciences et Nature,On compte 5 éruptions volcaniques par an en moyenne. Oui ou non ?,1,2,Oui,Non,,
Sciences et Nature,Pompéi est un volcan italien. Oui ou non ?,1,2,Oui,Non,,
Sciences et Nature,La Lune possède des volcans. Oui ou non ?,1,1,Oui,Non,,
Sciences et Nature,Le volcan Snæfellsjökull a bloqué le trafic aérien Européen pendant plusieurs jours en 2010. Oui ou non ?,1,2,Oui,Non,,
Sciences et Nature,Quel est l'âge estimé du système solaire ?,2,2,"4,5 millions d'années","4,5 milliards d'années",45 milliards d'années,450 milliards d'années
Sciences et Nature,Quelle planète est souvent décrite comme 'la soeur jumelle de la Terre' ?,2,1,Venus,Mars,Neptune,Mercure
Sciences et Nature,Les planètes que les astronomes découvrent en dehors de notre système solaire sont appelées ...,2,2,Les megaplanètes,Les exoplanètes,Les planétoïdes,Les planètes
Sciences et Nature,"Quelle est la température moyenne à la surface de Mercure, planète la plus proche du Soleil ?",2,3,40°C,75°C,169°C,419°C
Sciences et Nature,En quelle année Gallilée a-t-il découvert le premier anneau de Saturne ?,2,1,1610,1710,1810,1910
Sciences et Nature,Laquelle de ces planètes n'est pas une planète tellurique ?,2,4,Mercure,Mars,Venus,Pluton
Sciences et Nature,En combien de temps un globule rouge fait-il le tour complet de notre corps ?,2,1,1 minute,5 heures,24 heures,2 jours
Sciences et Nature,Quelle est la durée de vie moyenne d'un globule rouge dans l'organisme ?,2,4,1 Heure,2 Jours,3 Semaines,4 Mois
Sciences et Nature,Il existe un mois durant lequel il peut y avoir moins de quatre phases lunaire. Quel est-il ?,2,1,Février,Avril,Juillet,Octobre
Sciences et Nature,Les humains et les dinosaures ont cohabité ensemble à la même époque ?,1,2,Oui,Non,,
Sciences et Nature,Le foie se trouve-t-il du cété gauche ?,1,2,Oui,Non,,
Sciences et Nature,Quel oiseau pond les oeufs les plus gros ?,2,3,La pie,Le dodo,L'autruche,Le perroquet jaco
Sciences et Nature,"De quel pays est originaire le Chihuahua, le plus petit chien au monde ?",2,1,Le Mexique,La Chine,La Grèce,L'Islande
Sciences et Nature,Quel insecte effectue la majorité de la pollinisation des fleurs ?,2,4,Le bourdon,La guêpe,La libellule,L'abeille
Sciences et Nature,Quel félin est le seul à ne pas avoir de griffes rétractiles ?,2,3,Le lion,Le chat,Le guépard,La panthère des neiges
Sciences et Nature,Combien de races de chiens sont aujourd'hui recensées ?,2,2,60,330,900,2500
Sciences et Nature,Quel est le nom donné au célèbre monstre du Loch Ness ?,2,3,Locky,Nasso,Nessie,Lockart
Sciences et Nature,Quel nom est donné au chien sauvage qui vit en Australie ?,2,2,Pluto,Dingo,Mickey,Picsou
Sciences et Nature,"Quel poisson d'eau douce, qu'on trouve en France, possède plus de 700 dents et peut vivre plusieurs dizaines d'années ?",2,4,Le poisson-chat,Le goujon,La truite,Le brochet
Sciences et Nature,Quel est le nom de l'oiseau volant ayant la plus grande envergure de nos jours ?,2,2,L'autruche,L'albatros,Le Marabout d'Afrique,Le condor des Andes
Géographie,Quelle est la langue la plus parlée au monde ?,2,2,Le mandarin,L'anglais,L'espagnol,L'hindi
Géographie,"Où se trouve Ankara, ville nouvelle aux origines pourtant très anciennes ?",2,4,En Birmaie,En Inde,Au Pakistan,En Turquie
Géographie,"Où peut-on marcher sur la place Tian'anmen, au sud de la porte de la Paix céleste ?",2,2,Tokyo,Pékin,Kuala Lumpur,Jakarta
Géographie,Dans quel océan se déverse l'Amazone ?,2,1,Océan Atlantique,Océan Pacifique,Océan Indien,Océan Arctique
Géographie,Sur quelle île à 120 km du sud de l'Angleterre se trouvent Grand Havre et Port Soif ?,2,2,Ortac,Guernesey,Île de Man,Belle-île-en-Mer
Géographie,Où peut-on se rendre dans la plus grande île du monde ?,2,1,Australie,Hawaï,Guadeloupe,Sardaigne
Géographie,De quel pays Kuala Lumpur est-elle la capitale ?,2,3,Le Cambodge,Le Laos,La Malaisie,La Birmanie
Géographie,Quelle est la capitale du Kenya ?,2,3,Mombasa,Mogadiscio,Nairobi,Djibouti
Géographie,Quelle est la plus grande ville du Grand-Duché de Luxembourg ainsi que sa capitale ?,2,3,Wiltz,Vianden,Luxembourg,Diekirch
Géographie,"Quel est le pays entouré par le Lichtenstein, l'Italie, l'Autriche, l'Allemagne et la France ?",2,4,La Belgique,La Hongrie,Les Pays-Bas,La Suisse
Géographie,"Dans quel pays allez-vous si vous partez à la recherche du comte Dragul, en Transylvanie ?",2,1,En Roumanie,En Islande,En Bulgarie,En Egypte
Géographie,Quel fleuve est le second plus long d'Europe et qualifié de bleu d'après une célèbre valse ?,2,4,Le Rhône,Le Rhin ,L'Elbe,Le Danube
Géographie,La plus haute montagne du monde est le mont Everest. Oui ou non ?,1,1,Oui,Non,,
Géographie,Rio de Janeiro est la capitale du Brésil. Oui ou non ?,1,2,Oui,Non,,
Géographie,Quel est le plus grand pays du monde ?,2,4,Le Canada,Les Etats-Unis,La Chine,La Russie
Géographie,"Le fleuve Pô est situé dans un pays européen, lequel ?",2,3,En Pologne,En Serbie,En Italie,En Autriche
Géographie,Dans quel océan se trouve le Sri Lanka ?,2,4,Dans l'océan Austral,Dans l'océan Atlantique,Dans l'océan Pacifique,Dans l'océan Indien
Géographie,La péninsule du Yucatan se trouve au Mexique. Oui ou non ?,1,1,Oui,Non,,
Géographie,Dans quel pays prédomine la langue Tagalog ?,2,2,Au Kenya,Aux Philippines,En Ethiopie,Au Népal
Géographie,Quelle est la ville qui compte le plus grand nombre d'habitants en Afrique ?,2,2,Johannesburg,Le Caire,Lagos,Ouagadougou
Géographie,Quelle est la capitale de l'Albanie ?,2,2,Riga,Tirana,Tallinn,Belgrade
Géographie,Quel est le plus long fleuve de France ?,2,3,Le Rhône,La Loire,Le Rhin,La Seine
Géographie,Quel est le nom de la capitale du Laos ?,2,1,Vientiane,Phnom Penh,Surabaya,George Town
Géographie,La Russie est baignée de 12 mers. Oui ou non ?,1,1,Oui,Non,,
Géographie,Quelle est la capitale des Philippines ?,2,4,Jakarta,Hanoi,Ho Chi Minh,Manila
Géographie,Quel est le plus grand fleuve de la planète ?,2,3,Le Nil,Le Yangzi,L'Amazone,Le Mississippi
Géographie,Quelle est la zone terrestre la plus profonde ?,2,1,La fosse des Mariannes,La fosse de Tonga,La fosse des Philippines,La fosse de Porto Rico
Géographie,L'Afrikaans est la langue officielle en Afrique du Sud. Oui ou non ?,1,1,Oui,Non,,
Géographie,Quel est le seul monument toujours debout qui était dans le classement original des Merveilles du monde antique ?,2,2,Les statues de l'Ile de Pâques,Les pyramides de Gizeh,Le temple d'Angkor,La grande mosquée d'Istanbul
Géographie,Quelle est la capitale de la Mongolie ?,2,4,Ahmedabad,Colombo,Kunming,Ulaanbaatar
Géographie,"Dans lequel de ces pays, peut-on voir l'une des 7 nouvelles Merveilles du monde ?",2,3,France,Espagne,Italie,Grèce
Géographie,"Dans quel pays se trouve Pétra, l'une des nouvelles Merveilles du monde ?",2,2,Iran,Jordanie,Israël,Turquie
Géographie,De quelle civilisation le Machu Picchu est-il une création ?,2,4,Les Aztèques,Les Mayas,Les Zapotèques,Les Incas
Géographie,En quelle année l'océan Atlantique a-t-il été traversé en avion et sans escale pour la première fois ?,2,4,1886,1899,1907,1919
Géographie,"Dans quel état des États-Unis pourrez-vous rencontrer les Séminoles, un peuple amérindien ?",2,1,Floride,Nevada,Californie,Texas
Géographie,Quelle mer dépourvue de poissons et d'algues est partagée entre la Jordanie et Israël ?,2,2,Mer Rouge,Mer Morte,Mer Blanche,Mer Jaune
Géographie,Le quechua est une langue officielle dans plusieurs pays. Oui ou non ?,1,1,Oui,Non,,
Géographie,Quel pays est situé sur une même ligne verticale que la France métropolitaine ?,2,1,Algérie,Tunisie,Afrique du Sud,Portugal
Géographie,Casablance est la capitale du Maroc. Oui ou non ?,1,2,Oui,Non,,
Géographie,Quel pays est au moins 10 fois plus petit que la Corse ?,2,3,Haïti,Madagascar,Barheïn,Corée du Sud
Géographie,Combien d'états y-a-t-il aux États-Unis ?,2,2,48,50,49,51
Géographie,Le lac Baïkal se trouve en Russie. Oui ou non ?,1,1,Oui,Non,,
Géographie,Le romanche est une langue qui existe. Oui ou non ?,1,1,Oui,Non,,
Géographie,Le Taj Mahal est un mausolée. Oui ou non ?,1,1,Oui,Non,,
Géographie,Quelle est la longueur de la Grande Muraille de Chine ?,2,4,210 km,1.200 km,12.100 km,21.200 km
Géographie,Il y a 6 océans sur la planète Terre. Oui ou non ?,1,2,Oui,Non,,
Géographie,L'océan Pacifique est le plus grand du monde. Oui ou non ?,1,1,Oui,Non,,
Géographie,Le point le plus profond des océans mesure 19 km de longueur. Oui ou non ?,1,2,Oui,Non,,
Géographie,La planète Terre est recouverte à 70% par les océans. Oui ou non ?,1,1,Oui,Non,,
